ACTOR_LR,CRITIC_LR_SCALE,REWARD_DISCOUNT,A_REG_SCALE,C_REG_SCALE,score
0.050000,0.750000,0.990000,0.000050,0.005000,-163.780000
0.001000,0.750000,0.950000,0.000500,0.000050,-374.634000
0.050000,0.250000,0.970000,0.005000,0.000050,-93.812000
0.050000,1.000000,0.950000,0.000050,0.005000,-158.192000
0.001000,0.750000,0.990000,0.000500,0.000500,-118.540000
0.005000,1.250000,0.950000,0.000500,0.000050,-174.730000
0.010000,0.500000,0.990000,0.000050,0.000500,-173.232000
0.001000,0.750000,0.970000,0.000500,0.000050,-341.042000
0.001000,0.250000,0.970000,0.005000,0.000050,-180.224000
0.010000,1.250000,0.970000,0.000050,0.000500,-279.272000
0.005000,0.250000,0.950000,0.000050,0.000050,-220.402000
0.001000,0.250000,0.970000,0.005000,0.000500,-602.762000
0.050000,0.500000,0.930000,0.005000,0.005000,-351.888000
0.050000,1.250000,0.930000,0.005000,0.000500,-183.476000
0.050000,0.500000,0.970000,0.000050,0.000500,-92.944000
0.010000,0.500000,0.950000,0.005000,0.000500,-108.762000
0.001000,0.750000,0.990000,0.000500,0.000050,-201.282000
0.005000,1.250000,0.930000,0.000050,0.000050,-234.574000
0.010000,0.500000,0.990000,0.000500,0.000500,-574.722000
0.001000,1.250000,0.930000,0.005000,0.005000,-454.514000
